"In terms of programming in general, I consider myself to be","In terms of python in particular, I have","In terms of my confidence in my ability to use python programming language, I am:","In terms of my confidence with using python data science libraries, I am: ","In terms of my confidence with python computing tools such as conda, jupyter notebooks, and IDEs such as Visual Studio Code, I am:",I find that I learn coding best by [Studying independently],I find that I learn coding best by [Working in small groups],I find that I learn coding best by [Following along through examples ],I find that I learn coding best by [Tinkering with code myself],I find that I learn coding best by [Open-ended exercises],I find that I learn coding best by [Focused practice sessions]
3,3,6,9,7,Somewhat Disagree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree
2,1,3,3,3,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
4,5,10,10,10,Somewhat Disagree,Neither Agree or Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
3,4,8,10,7,Somewhat Agree,Strongly Disagree,Neither Agree or Disagree,Somewhat Agree,Strongly Agree,Strongly Agree
3,3,4,4,4,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3,5,10,9,5,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
3,4,8,9,9,Neither Agree or Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
5,4,10,10,10,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Somewhat Disagree,Somewhat Agree
4,2,6,8,8,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5,4,9,10,10,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
4,5,8,9,6,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree
3,2,4,4,4,Strongly Disagree,Neither Agree or Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
4,4,8,10,8,Somewhat Agree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree
4,5,6,6,6,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
4,4,10,10,10,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree
4,4,8,8,7,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
4,4,10,10,10,Neither Agree or Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
4,5,10,10,10,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree
3,5,9,9,9,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree
3,4,7,8,5,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5,5,10,10,10,Neither Agree or Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Strongly Agree
5,5,1,3,1,"Strongly Agree, Somewhat Disagree",Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5,5,10,10,10,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree
5,5,9,10,9,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
5,5,9,9,9,Somewhat Agree,Neither Agree or Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
5,5,4,8,8,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Somewhat Disagree
5,5,10,10,10,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
3,4,7,7,6,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree
4,5,9,10,10,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
3,2,4,6,3,Somewhat Agree,"Strongly Agree, Somewhat Agree",Neither Agree or Disagree,Strongly Agree,Strongly Agree,Strongly Agree
3,5,8,9,9,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree
4,4,9,10,7,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree
