Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,59.756,59.629999999999995,59.918,59.792,59.900000000000006,59.702,59.756,59.900000000000006,59.81,59.647999999999996,59.684,59.756,59.774,,,59.864000000000004,59.774,59.72
1881,59.72,59.828,60.134,60.17,60.188,59.738,60.08,60.008,59.81,59.684,59.738,59.954,59.918,59.900000000000006,59.774,60.152,59.936,59.738
1882,60.367999999999995,60.332,60.152,59.774,59.81,59.666,59.774,59.954,59.81,59.647999999999996,59.774,59.432,59.882000000000005,59.918,60.206,59.918,59.792,59.756
1883,59.558,59.414,59.864000000000004,59.756,59.756,59.936,59.954,59.828,59.684,59.882000000000005,59.666,59.882000000000005,59.756,59.72,59.468,59.792,59.900000000000006,59.738
1884,59.846000000000004,59.936,59.432,59.36,59.468,59.432,59.54,59.576,59.594,59.629999999999995,59.468,59.522,59.558,59.594,59.882000000000005,59.414,59.522,59.558
1885,59.036,59.468,59.594,59.324,59.269999999999996,59.288,59.468,59.504,59.558,59.647999999999996,59.647999999999996,59.882000000000005,59.468,59.45,59.342,59.396,59.432,59.629999999999995
1886,59.269999999999996,59.162,59.306,59.576,59.629999999999995,59.45,59.756,59.522,59.647999999999996,59.576,59.594,59.612,59.504,59.54,59.45,59.504,59.576,59.612
1887,58.784,59.054,59.432,59.45,59.522,59.629999999999995,59.612,59.432,59.612,59.432,59.594,59.486000000000004,59.414,59.432,59.144000000000005,59.468,59.558,59.54
1888,59.45,59.432,59.324,59.702,59.684,59.774,59.882000000000005,59.792,59.864000000000004,60.098,60.116,60.008,59.756,59.72,59.45,59.576,59.81,60.025999999999996
1889,59.918,60.367999999999995,60.188,60.242000000000004,60.062,59.900000000000006,59.936,59.702,59.647999999999996,59.612,59.468,59.558,59.882000000000005,59.918,60.098,60.17,59.846000000000004,59.576
1890,59.324,59.269999999999996,59.36,59.54,59.36,59.629999999999995,59.576,59.378,59.414,59.629999999999995,59.288,59.504,59.432,59.45,59.378,59.414,59.522,59.45
1891,59.468,59.233999999999995,59.756,59.594,59.774,59.702,59.756,59.756,59.792,59.684,59.504,59.989999999999995,59.666,59.629999999999995,59.396,59.702,59.738,59.666
1892,59.54,59.864000000000004,59.342,59.468,59.647999999999996,59.666,59.504,59.576,59.774,59.828,59.324,59.378,59.576,59.629999999999995,59.81,59.486000000000004,59.594,59.629999999999995
1893,58.622,59.072,59.684,59.594,59.486000000000004,59.629999999999995,59.828,59.629999999999995,59.666,59.738,59.738,59.468,59.504,59.504,59.018,59.576,59.702,59.72
1894,59.126000000000005,59.522,59.647999999999996,59.251999999999995,59.486000000000004,59.342,59.629999999999995,59.612,59.558,59.647999999999996,59.594,59.666,59.504,59.486000000000004,59.36,59.468,59.522,59.594
1895,59.306,59.306,59.468,59.666,59.558,59.684,59.756,59.738,59.846000000000004,59.900000000000006,59.774,59.828,59.647999999999996,59.647999999999996,59.432,59.558,59.72,59.846000000000004
1896,59.684,59.864000000000004,59.612,59.54,59.792,59.882000000000005,60.044,59.989999999999995,59.954,60.188,60.008,60.008,59.882000000000005,59.864000000000004,59.792,59.647999999999996,59.971999999999994,60.044
1897,59.81,59.774,59.846000000000004,60.044,60.062,59.882000000000005,60.044,59.918,59.936,59.846000000000004,59.774,59.72,59.882000000000005,59.918,59.864000000000004,59.989999999999995,59.954,59.846000000000004
